	location
EPI_ISL_18107020|H5N1|a/gadwall_duck/tennessee/ceirr-295/2022|2022-01-25|2022.066	North America
EPI_ISL_1114753|H5N8|a/mute_swan/north_ossetia-alania/325-02/2020|2020-12-31|2020.997	Europe
EPI_ISL_16297130|H5N1|a/chicken/florida/22-034076-001-original/2022|2022-10-24|2022.811	North America
EPI_ISL_1390546|H5N8|a/northern_goshawk/sweden/sva210316sz0489/kn001045/m/2021|2021-03-15|2021.2	Europe
EPI_ISL_17606855|H5N1|a/duck/korea/h138/2022|2022-02-08|2022.104	Asia
EPI_ISL_18132994|H5N1|a/bald_eagle/vermont/usda-009551-002/2022|2022-03-28|2022.236	North America
EPI_ISL_15234358|H5N1|a/anser_anser/spain/2825-1_22vir8632-13/2022|2022-08-10|2022.605	Europe
EPI_ISL_16196758|H5N1|a/duck/cyprus/745-1_22vir12133-1/2022|2022-11-25|2022.899	Europe
EPI_ISL_16350802|H5N1|a/common_buzzard/sweden/sva221130sz0475/fb004689/m-2022|2022-11-25|2022.899	Europe
EPI_ISL_18699000|H5N1|a/turkey/minnesota/23-034358-002-original/2023|2023-11-07|2023.849	North America
EPI_ISL_11897699|H5N1|a/chicken/delaware/22-008054-003-original/2022|2022-03-16|2022.203	North America
EPI_ISL_405391|H5N8|a/chicken/czech_republic/1175-1/2020|2020-01-17|2020.044	Europe
EPI_ISL_15585906|H5N1|a/pheasant/england/393437/2022|2022-08-26|2022.649	Europe
EPI_ISL_18514137|H5N1|a/greylag_goose_/sweden/sva231101sz0522/fb0045269/ab-2023|2023-10-30|2023.827	Europe
EPI_ISL_18501400|H5N1|a/european_herring_gull/leningrad_region/rii-wd485/2023|2023-10-11|2023.775	Europe
EPI_ISL_15857959|H5N1|a/swan/italy/22vir10097-4/2022|2022-10-21|2022.803	Europe
EPI_ISL_1009691|H5N8|a/duck/korea/h009/2021|2021-01-04|2021.008	Asia
EPI_ISL_11259315|H5N1|a/goose/spain/88-3_22vir2142-4/2022|2022-01-10|2022.025	Europe
EPI_ISL_18591989|H5N1|a/crowned_crane_zoo/austria/23141747-001/2023|2023-10-27|2023.819	Europe
EPI_ISL_13370925|H5N1|a/chicken/england/063896/2022|2022-05-05|2022.34	Europe
EPI_ISL_17373071|H5N1|a/vulture/georgia/w22-1057b/2022|2022-11-03|2022.838	North America
EPI_ISL_647969|H5N8|a/turkey/sweden/sva201114sz0001/20kn303106/2020|2020-11-13|2020.866	Europe
EPI_ISL_17625761|H5N1|a/black-headed_gull/netherlands/23006300-001/2023|2023-04-09|2023.268	Europe
EPI_ISL_17679795|H5N1|a/eurasian_eagle-owl/slovenia/142_23vir1977-6/2023|2023-02-02|2023.088	Europe
EPI_ISL_18209364|H5N1|a/pheasant/scotland/106145/2023|2023-08-08|2023.6	Europe
